ward_id,timestamp,rain_mm_idw
TP Cần Thơ | Cù Lao Dung,2025-11-16 22:00,1.812696754577173
TP Cần Thơ | Cù Lao Dung,2025-11-16 23:00,1.789635049469365
TP Cần Thơ | Cù Lao Dung,2025-11-17 00:00,1.3960236090920626
TP Cần Thơ | Cù Lao Dung,2025-11-17 05:00,2.3647081687616267
TP Cần Thơ | Cù Lao Dung,2025-11-17 06:00,1.1889538025976305
TP Cần Thơ | Cờ Đỏ,2025-11-13 22:00,7.086137343057313
TP Cần Thơ | Cờ Đỏ,2025-11-13 23:00,2.6596855707886378
TP Cần Thơ | Cờ Đỏ,2025-11-14 01:00,1.4351137830073597
TP Cần Thơ | Cờ Đỏ,2025-11-16 15:00,1.1087199640047976
TP Cần Thơ | Cờ Đỏ,2025-11-16 16:00,6.549515061539286
TP Cần Thơ | Cờ Đỏ,2025-11-16 17:00,11.95334219722359
TP Cần Thơ | Cờ Đỏ,2025-11-16 18:00,3.4229572599034763
TP Cần Thơ | Cờ Đỏ,2025-11-16 22:00,4.425834509966595
TP Cần Thơ | Cờ Đỏ,2025-11-16 23:00,2.5741695204523927
TP Cần Thơ | Cờ Đỏ,2025-11-17 12:00,1.695355953781725
TP Cần Thơ | Cờ Đỏ,2025-11-17 14:00,2.344853690541521
TP Cần Thơ | Cờ Đỏ,2025-11-17 15:00,2.3307648355085586
TP Cần Thơ | Cờ Đỏ,2025-11-17 16:00,4.312014612618473
TP Cần Thơ | Cờ Đỏ,2025-11-17 17:00,3.645333825390463
TP Cần Thơ | Cờ Đỏ,2025-11-19 15:00,2.9515617008678694
TP Cần Thơ | Cờ Đỏ,2025-11-19 17:00,2.2685396829194047
TP Cần Thơ | Cờ Đỏ,2025-11-19 18:00,10.94065595420384
TP Cần Thơ | Cờ Đỏ,2025-11-19 19:00,4.051948214197073
TP Cần Thơ | Cờ Đỏ,2025-11-19 20:00,5.299036587397731
TP Cần Thơ | Gia Hòa,2025-11-16 14:00,3.9311548383651775
TP Cần Thơ | Gia Hòa,2025-11-16 15:00,4.394392560886999
TP Cần Thơ | Gia Hòa,2025-11-16 16:00,1.858281593609698
TP Cần Thơ | Gia Hòa,2025-11-17 06:00,1.2196923596759386
TP Cần Thơ | Gia Hòa,2025-11-17 07:00,4.249045251988363
TP Cần Thơ | Gia Hòa,2025-11-17 08:00,1.3848265438875609
TP Cần Thơ | Gia Hòa,2025-11-17 09:00,1.6851194129002078
TP Cần Thơ | Gia Hòa,2025-11-17 11:00,8.313878652122185
TP Cần Thơ | Gia Hòa,2025-11-17 12:00,3.5929217516839858
TP Cần Thơ | Gia Hòa,2025-11-17 13:00,2.402246923246044
TP Cần Thơ | Gia Hòa,2025-11-17 14:00,2.980084176452797
TP Cần Thơ | Gia Hòa,2025-11-17 15:00,3.8619132086598222
TP Cần Thơ | Gia Hòa,2025-11-17 16:00,1.8225486112455065
TP Cần Thơ | Gia Hòa,2025-11-18 23:00,2.1120943379058996
TP Cần Thơ | Gia Hòa,2025-11-19 00:00,3.2290048787857253
TP Cần Thơ | Gia Hòa,2025-11-19 01:00,1.3602198586597294
TP Cần Thơ | Gia Hòa,2025-11-19 02:00,2.3172805484934935
TP Cần Thơ | Gia Hòa,2025-11-19 03:00,3.0375288041480726
TP Cần Thơ | Gia Hòa,2025-11-19 04:00,1.928617773569788
TP Cần Thơ | Gia Hòa,2025-11-19 05:00,1.3817315957745528
TP Cần Thơ | Hiệp Hưng,2025-11-13 21:00,1.770645804687687
TP Cần Thơ | Hiệp Hưng,2025-11-13 22:00,1.6773543713328567
TP Cần Thơ | Hiệp Hưng,2025-11-16 13:00,2.3796445732207983
TP Cần Thơ | Hiệp Hưng,2025-11-16 14:00,5.489437725364062
TP Cần Thơ | Hiệp Hưng,2025-11-16 15:00,14.381159577429806
TP Cần Thơ | Hiệp Hưng,2025-11-16 16:00,1.0492014032841537
TP Cần Thơ | Hiệp Hưng,2025-11-16 17:00,1.8876693378380072
TP Cần Thơ | Hiệp Hưng,2025-11-16 22:00,3.5128780613871835
TP Cần Thơ | Hiệp Hưng,2025-11-16 23:00,1.0511549009418042
TP Cần Thơ | Hiệp Hưng,2025-11-17 00:00,2.2468723805205184
TP Cần Thơ | Hiệp Hưng,2025-11-17 01:00,1.5956981461954858
TP Cần Thơ | Hiệp Hưng,2025-11-17 10:00,2.331442369017916
TP Cần Thơ | Hiệp Hưng,2025-11-17 11:00,8.56524201119144
TP Cần Thơ | Hiệp Hưng,2025-11-17 12:00,12.648659163834637
TP Cần Thơ | Hiệp Hưng,2025-11-17 13:00,8.781913474444403
TP Cần Thơ | Hiệp Hưng,2025-11-17 14:00,4.443624126898897
TP Cần Thơ | Hiệp Hưng,2025-11-17 15:00,12.966751965554051
TP Cần Thơ | Hiệp Hưng,2025-11-17 16:00,10.82316470038031
TP Cần Thơ | Hiệp Hưng,2025-11-18 13:00,2.3492079630154437
TP Cần Thơ | Hòa An,2025-11-16 14:00,1.8414694605184525
TP Cần Thơ | Hòa An,2025-11-16 15:00,5.446911502633622
TP Cần Thơ | Hòa An,2025-11-16 16:00,4.755924822196469
TP Cần Thơ | Hòa An,2025-11-16 17:00,14.26190931094949
TP Cần Thơ | Hòa An,2025-11-16 18:00,2.2469454909299063
TP Cần Thơ | Hòa An,2025-11-16 22:00,2.6073559147344105
TP Cần Thơ | Hòa An,2025-11-16 23:00,1.8903950150759667
TP Cần Thơ | Hòa An,2025-11-17 00:00,1.1359793161834626
TP Cần Thơ | Hòa An,2025-11-17 11:00,13.47285502891125
TP Cần Thơ | Hòa An,2025-11-17 12:00,4.317335599847126
TP Cần Thơ | Hòa An,2025-11-17 13:00,5.044834076025038
TP Cần Thơ | Hòa An,2025-11-17 14:00,5.234994735456738
TP Cần Thơ | Hòa An,2025-11-17 15:00,4.679744078913914
TP Cần Thơ | Hòa An,2025-11-17 16:00,11.08335347147497
TP Cần Thơ | Hòa Tú,2025-11-16 13:00,1.6792012726366576
TP Cần Thơ | Hòa Tú,2025-11-16 14:00,5.591772773061477
TP Cần Thơ | Hòa Tú,2025-11-16 15:00,4.368554188402251
TP Cần Thơ | Hòa Tú,2025-11-16 16:00,1.7784706229749956
TP Cần Thơ | Hòa Tú,2025-11-17 06:00,1.662316838086372
TP Cần Thơ | Hòa Tú,2025-11-17 07:00,4.734594944404661
TP Cần Thơ | Hòa Tú,2025-11-17 08:00,1.2150317525047931
TP Cần Thơ | Hòa Tú,2025-11-17 09:00,1.6380838132788649
TP Cần Thơ | Hòa Tú,2025-11-17 10:00,2.2623251314249084
TP Cần Thơ | Hòa Tú,2025-11-17 11:00,8.911959232131201
TP Cần Thơ | Hòa Tú,2025-11-17 12:00,5.8551892186861645
TP Cần Thơ | Hòa Tú,2025-11-17 13:00,2.3571660464729645
